,DSW,DSW_CI,ISW,ISW_CI,LSSW,LSSW_CI,mCDW,mCDW_CI,CDW,CDW_CI,zlowest,month,region,stress_curl_slope_MonMean,u10MonMean,v10MonMean,u10SlopeMonMean,v10SlopeMonMean,neg_u10SlopeMonMean,neg_stress_curl,ShelfWidth
53,7.25683535462718,[0. 0.],0.0,[0. 0.],13.041171219915382,[7.84709475 8.3318492 ],383.7273598505697,[350.31721368 351.08145808],284.51279352839236,[245.71840023 249.05020404],18834.199374126696,6,CD-DIS,1.8258694333256575e-07,-5.071061551743659,6.534314849411232,-5.566885631343206,5.187819992103355,5.566885631343206,-1.8258694333256575e-07,110.35831033764634
54,18.412711517825,[1.08670014 1.67658386],9.693418702041011,[6.36173287 6.69501549],63.91121024157515,[56.39360704 57.4310061 ],135.7494314383809,[ 94.84772396 104.88680409],468.0500674219135,[411.3272174  413.17943225],30451.229478704816,7,CD-DIS,2.0837410883575814e-09,-5.270589900362319,5.961895663496377,-5.61233745533865,4.470594707953604,5.61233745533865,-2.0837410883575814e-09,110.35831033764634
55,32.484057287453716,[12.09656735 12.83055238],24.011312979913484,[13.59934741 14.690212  ],103.78218134557379,[95.60841323 95.72170364],211.70878878113356,[176.28549983 177.40562595],301.4109870070845,[258.93673129 264.94949098],19738.43341885068,8,CD-DIS,9.799807069340124e-08,-4.295573624320652,5.987511322463768,-4.504364999741093,4.567402230478459,4.504364999741093,-9.799807069340124e-08,110.35831033764634
56,61.32582887310358,[30.19446429 37.58410714],0.0,[0. 0.],129.31439625108064,[109.29482428 112.5716457 ],90.37804546960304,[54.53841667 57.80777381],248.59629774318802,[209.96910714 214.22375   ],5151.3696253407015,9,CD-DIS,-8.06130591240598e-08,-5.13295261548913,5.8399169921875,-5.2987128307528994,4.445501825289975,5.2987128307528994,8.06130591240598e-08,110.35831033764634
57,,[0. 0.],,[0. 0.],,[0. 0.],,[0. 0.],,[0. 0.],,10,CD-DIS,-1.0878708006778628e-07,-4.342767068614131,4.951031051856884,-4.274499016155758,3.7507338377692627,4.274499016155758,1.0878708006778628e-07,110.35831033764634
58,9.990332388353186,[4.04249214 4.84786283],0.0,[0. 0.],110.36310232544274,[92.09165758 95.4245975 ],268.60734871670087,[232.39671781 239.26006434],123.63381537301954,[78.44468742 82.41985256],16355.827219773622,11,CD-DIS,-3.0506456651984905e-07,-5.291634822237318,4.167567510190217,-5.013685224860191,3.1167918586888983,5.013685224860191,3.0506456651984905e-07,110.35831033764634
59,34.58509141316077,[23.26749167 23.29884167],0.0,[0. 0.],79.24927224221042,[59.78789691 60.6313612 ],114.45209938952983,[75.9867653 85.3951021],140.69236739344922,[106.66964968 106.72542825],6529.338791865159,12,CD-DIS,-3.276152608417709e-07,-5.078122169384058,3.1581298828125,-4.6305138967999175,2.284090486161454,4.6305138967999175,3.276152608417709e-07,110.35831033764634
60,0.0,[0. 0.],0.0,[0. 0.],32.707238885248266,[16.68316667 17.31016667],45.99455468238038,[40. 40.],49.0608583278724,[40. 40.],2616.579110819861,1,WPB-DIS,-1.5078667694559463e-07,-2.1831089792687908,1.7967001123366013,-2.64107905982906,1.165628171741453,2.64107905982906,1.5078667694559463e-07,191.70795190378587
61,91.94373055365419,[69.05871651 70.74443752],105.37713943050362,[84.83271739 85.51555002],29.476321676907645,[24.19674495 25.13963191],208.7465446337345,[188.59929395 190.84700557],42.45314660576075,[25.8603182  27.56082486],41861.36841723439,2,WPB-DIS,-3.3137621358036995e-07,-1.0992978164573122,3.241543479370915,-1.5298133680555555,2.560113514957265,1.5298133680555555,3.3137621358036995e-07,191.70795190378587
62,93.42141368968784,[79.24877996 81.81684407],156.679031329064,[134.47092747 139.59906789],36.97968030989003,[33.69610108 33.94932841],150.72136140475118,[125.39703141 126.08061799],206.50343357497584,[171.51044819 171.82912564],217762.4698920484,3,WPB-DIS,-3.942058811712469e-07,-0.5510048062193628,4.701524841707516,-1.8449283854166667,4.125434695512821,1.8449283854166667,3.942058811712469e-07,191.70795190378587
63,58.65263772014885,[41.98873501 42.63831355],157.897111888641,[136.74285513 137.54771035],60.05571361473292,[55.14485808 55.6132839 ],143.90641707136763,[129.88248226 129.9396983 ],281.28465262976766,[236.84591027 247.77799165],154069.6872736751,4,WPB-DIS,-4.7637635252924046e-07,-0.7043097203073938,5.537673611111111,-2.227683293269231,4.9495492788461535,2.227683293269231,4.7637635252924046e-07,191.70795190378587
64,61.266322194456656,[41.35491366 43.5919229 ],36.900156510359174,[22.19584614 24.93039024],45.64784745350047,[39.19158659 39.23833662],118.37181251007212,[95.66436943 98.96449688],400.9355377354492,[368.00076716 373.22666045],38455.786746476086,5,WPB-DIS,-5.123979197098658e-07,-1.4202837775735293,5.311505246629902,-3.040497796474359,4.6264720219017095,3.040497796474359,5.123979197098658e-07,191.70795190378587
65,43.09053090084898,[17.2228065  19.10388712],20.883052113631297,[12.44284295 12.82950973],44.8430080976601,[36.6738543  37.35214088],104.05960281669891,[82.73397204 85.02163824],299.1122595347066,[266.45817607 269.98833468],19970.114855984564,6,WPB-DIS,-5.58446726610518e-07,-1.3423954184538398,5.66380655126634,-2.9694334268162392,5.022710336538461,2.9694334268162392,5.58446726610518e-07,191.70795190378587
66,20.599687531102408,[20. 20.],0.0,[0. 0.],0.0,[0. 0.],41.199375062204815,[40. 40.],0.0,[0. 0.],185.3971877799216,7,WPB-DIS,-5.344288726138253e-07,-1.3511514501633988,4.772281901041667,-2.7002772769764958,4.053313969017094,2.7002772769764958,5.344288726138253e-07,191.70795190378587
67,0.0,[0. 0.],0.0,[0. 0.],56.5303699558397,[41.49693169 41.67996078],129.4189102585518,[94.90076519 96.2157009 ],194.6634257331073,[166.39555556 171.17269841],6678.403938601565,8,WPB-DIS,-5.662510903854655e-07,-0.9070760091145833,5.240731911254085,-1.9468142361111112,4.623066907051282,1.9468142361111112,5.662510903854655e-07,191.70795190378587
68,220.82612030084442,[182.08170141 187.56759837],23.09956001828301,[7.68351786 9.228625  ],15.402206716249301,[ 9.35200438 10.5597392 ],134.82974621058756,[107.371709   107.60462841],224.6793288375414,[198.28695421 199.13443773],15220.93405873488,9,WPB-DIS,-5.215980335433259e-07,-1.4181982102736927,4.635428474775327,-2.6503196781517095,3.7852463942307693,2.6503196781517095,5.215980335433259e-07,191.70795190378587
69,272.7698079692669,[235.44302433 243.25923646],67.25173627087361,[51.76791733 53.42246974],0.5879008644066135,[0.001875 0.073125],70.2760847688271,[57.26558542 57.26878476],0.0,[0. 0.],28103.0832184012,10,WPB-DIS,-4.049502790738375e-07,-1.2889823963439542,4.027315346711601,-2.0258743990384613,3.271156517094017,2.0258743990384613,4.049502790738375e-07,191.70795190378587
70,103.95506235165762,[81.85490817 82.65887875],10.681924489102897,[0. 0.],17.000767278989354,[12.54698208 12.73655655],348.95296283069536,[306.94006318 310.92950436],322.9558083602707,[282.49981868 289.38303846],6309.011651376399,11,WPB-DIS,-3.1603977848321965e-07,-2.6555959265216504,2.523229102839052,-3.3509588675213675,1.9358029513888888,3.3509588675213675,3.1603977848321965e-07,191.70795190378587
71,,[0. 0.],,[0. 0.],,[0. 0.],,[0. 0.],,[0. 0.],,12,WPB-DIS,-2.0476866067729444e-07,-2.750005425347222,1.574142476000817,-3.2326839610042737,0.9671557825854701,3.2326839610042737,2.0476866067729444e-07,191.70795190378587
72,,[0. 0.],,[0. 0.],,[0. 0.],,[0. 0.],,[0. 0.],,1,EPB-NIS,-1.382457099270269e-07,-4.103645559786415,-0.6374988288772541,-2.3701928681662743,0.2426628353022161,2.3701928681662743,1.382457099270269e-07,256.53376949580473
73,153.62051418288237,[111.7487833  117.01196054],173.19015816223026,[148.66370429 149.75626934],41.10534587833696,[29.61638492 33.45197895],44.68287730197442,[34.01822983 34.35681229],0.0,[0. 0.],89148.14834425172,2,EPB-NIS,-2.864506609349743e-07,-4.111511059501926,-0.20400238037109375,-1.2771658462217437,1.0655195935293333,1.2771658462217437,2.864506609349743e-07,256.53376949580473
74,219.00047711941662,[176.90102404 179.56730538],144.10619019936274,[122.35696923 124.78937265],93.81579761970902,[82.93133491 83.1450004 ],51.41988434167312,[46.55635059 46.92251028],0.0,[0. 0.],580994.832980744,3,EPB-NIS,-3.732822111795728e-07,-4.323238768163516,0.34743104395078345,-1.487712235477639,1.7641141623551095,1.487712235477639,3.732822111795728e-07,256.53376949580473
75,145.06743545972245,[116.54466233 119.96537495],90.38297836591732,[69.24958953 69.72178964],124.30259709046514,[114.31407515 115.42453328],76.85382557557429,[58.91387974 59.52987059],0.0,[0. 0.],384660.6482461843,4,EPB-NIS,-4.054187339269263e-07,-5.06936260832458,0.5568234312768076,-2.1771685698583294,2.106782514322512,2.1771685698583294,4.054187339269263e-07,256.53376949580473
76,125.95504828359144,[ 94.6215973  105.66425838],56.62410814505349,[36.71019142 37.91692686],140.50127147680482,[127.19943914 128.06105419],90.6326015827218,[74.29950772 77.66954418],0.0,[0. 0.],182476.9946140953,5,EPB-NIS,-4.0628834609245857e-07,-5.964029947916667,0.35351432137796523,-3.2767134970244705,1.5083792592818759,3.2767134970244705,4.0628834609245857e-07,256.53376949580473
77,120.46278292016892,[84.37217064 91.18946972],3.8990663905215697,[1.35683485 1.35683485],180.5438967611324,[165.35853737 169.14070783],104.36995633413565,[88.580192   89.60763449],0.0,[0. 0.],66122.22732089508,6,EPB-NIS,-4.514637984930688e-07,-6.172751034007353,0.46334684997045694,-3.261070802060665,1.811097413898388,3.261070802060665,4.514637984930688e-07,256.53376949580473
78,117.84659177183431,[85.65214851 96.96021105],1.3049269987491336,[0. 0.],120.31064672429909,[103.72115572 103.76807433],73.42197571167758,[39.84911439 45.76335715],0.0,[0. 0.],33226.26594193517,7,EPB-NIS,-4.593118156321377e-07,-5.665972883293943,0.19245124197139793,-2.5234054061930986,1.3682459884476172,2.5234054061930986,4.593118156321377e-07,256.53376949580473
79,17.372459848467688,[10.00391493 11.88282607],6.3281459146214685,[2.70805698 3.68515797],79.02241900664526,[68.56212496 69.06571847],0.0,[0. 0.],0.0,[0. 0.],25381.652408415343,8,EPB-NIS,-4.951890149193599e-07,-5.461572470785189,0.3215740214542848,-2.03171093645912,1.5527146850157658,2.03171093645912,4.951890149193599e-07,256.53376949580473
80,214.5578804717448,[179.84481485 182.15354206],0.0,[0. 0.],39.296614967864926,[22.83571795 25.69476491],0.0,[0. 0.],0.0,[0. 0.],5004.988327512342,9,EPB-NIS,-3.9284155695932966e-07,-5.561429405746674,0.022529513896012508,-2.5421821915108587,1.1862482547908246,2.5421821915108587,3.9284155695932966e-07,256.53376949580473
81,0.0,[0. 0.],621.1921524996702,[601.86626465 602.61866465],0.8142467723341479,[0. 0.],0.0,[0. 0.],0.0,[0. 0.],5048.329988471715,10,EPB-NIS,-3.076912844753363e-07,-4.808528782606793,0.007768879417611771,-1.9263363861193765,1.1936401524403784,1.9263363861193765,3.076912844753363e-07,256.53376949580473
82,81.85626899434105,[51.37714986 63.58991936],617.9161833608962,[590.78642005 594.65795886],0.0,[0. 0.],21.888590129068614,[13.3923174  16.26076751],0.0,[0. 0.],17265.140308328475,11,EPB-NIS,-2.925301495708369e-07,-5.5670022403492645,-0.7419089095599177,-3.393900303104321,0.4220723335424346,3.393900303104321,2.925301495708369e-07,256.53376949580473
83,265.4169709290241,[246.80554267 250.1858905 ],134.90638141697326,[125. 125.],0.0,[0. 0.],130.76120586133726,[115.93170514 116.46220477],0.0,[0. 0.],7858.818801058108,12,EPB-NIS,-2.2117713750104907e-07,-4.5856389919248945,-0.9607615751378676,-2.8725586154350045,-0.18648863306751565,2.8725586154350045,2.2117713750104907e-07,256.53376949580473
84,0.0,[0. 0.],0.05077185874510951,[0. 0.],77.55703696940392,[55.42915075 56.41697073],86.08864815050406,[67.2547394  69.04450929],0.0,[0. 0.],26353.641000236545,1,AC-NIS,-3.3217879040290144e-07,-3.9977893909534536,2.8999689142267266,-2.0340731501860594,1.7495197843869124,2.0340731501860594,3.3217879040290144e-07,135.8533184697267
